#Cluster WAVELET_00003[points] WAVELET_00003[minatm] WAVELET_00003[maxatm] WAVELET_00003[minfrm] WAVELET_00003[maxfrm] WAVELET_00003[avgval]
     150                  3573                  4162                  4312                 21299                 21401                 1.010
     151                  3552                  3458                  3510                 39688                 40195                 1.010
     152                  3526                  3171                  3267                   488                   651                 1.010
     153                  3494                  3038                  3086                 31899                 32233                 1.010
     154                  3406                  2683                  2886                 16941                 16971                 1.010
     155                  3395                  3168                  3251                 14115                 14377                 1.010
     156                  3379                  4254                  4335                 43326                 43712                 1.010
     157                  3353                  2671                  2729                 39083                 39483                 1.010
     158                  3332                  4047                  4091                 49608                 50000                 1.010
     159                  3301                   294                   329                 15941                 16146                 1.010
     160                  3288                  2514                  2520                 12423                 12937                 1.010
     161                  3238                  2454                  2524                 24951                 25280                 1.010
     162                  3233                  2280                  2343                 26161                 26491                 1.010
     163                  3229                  3535                  3608                 39261                 39637                 1.010
     164                  3185                  3554                  3612                 32299                 32638                 1.010
     165                  3185                  1745                  1782                 44764                 45024                 1.010
     166                  3166                  4254                  4334                 40448                 40715                 1.010
     167                  3152                  4254                  4334                 42250                 42577                 1.010
     168                  3129                  4255                  4280                 33165                 33620                 1.010
     169                  3111                  3564                  3612                 30101                 30488                 1.010
     170                  3089                  2123                  2214                 25688                 26003                 1.010
     171                  3087                  2479                  2563                 36686                 36880                 1.010
     172                  3066                  3439                  3507                 34412                 34850                 1.010
     173                  3019                  2016                  2104                 19325                 19485                 1.010
     174                  3004                  3176                  3251                 13457                 13625                 1.010
     175                  2989                  3657                  3777                 18782                 18905                 1.010
     176                  2976                  4043                  4076                 22614                 22982                 1.010
     177                  2935                   221                   252                 16810                 16975                76.870
     178                  2935                  4273                  4316                 49029                 49285                 1.010
     179                  2913                  1336                  1374                 21207                 21531                 1.010
     180                  2883                  2487                  2518                 17740                 18007               182.830
     181                  2876                  3350                  3394                 21773                 22103                 1.010
     182                  2860                  2826                  2867                 21214                 21355               153.741
     183                  2831                  4255                  4362                 45238                 45423                 1.010
     184                  2797                  2349                  2410                 24205                 24477                 1.010
     185                  2770                  2280                  2339                 29308                 29651                 1.010
     186                  2740                  4255                  4280                 37705                 38127                 1.010
     187                  2698                  2279                  2343                 34279                 34536                 1.010
     188                  2676                  4047                  4076                 19322                 19658                 1.010
     189                  2656                  1969                  2007                 38867                 39102                 1.010
     190                  2606                  1170                  1208                 22554                 22821                 1.010
     191                  2599                  2351                  2412                 31282                 31593                 1.010
     192                  2504                  2280                  2339                 28603                 28881                 1.010
     193                  2465                  3564                  3608                 30585                 30874                 1.010
     194                  2419                  3169                  3236                 14350                 14636                 1.010
     195                  2419                  3573                  3608                 29791                 30096                 1.010
     196                  2400                  1337                  1379                 14925                 15143                 1.010
     197                  2389                  2279                  2350                 29832                 30097                 1.010
     198                  2381                  2671                  2729                 35305                 35588                 1.010
     199                  2381                  1750                  1804                 40995                 41239                 1.010
     200                  2355                  3211                  3246                 14438                 14728                 1.010
     201                  2340                  2490                  2545                 28508                 28789                 1.010
     202                  2337                  3190                  3240                  8280                  8483                 1.010
     203                  2337                  3549                  3636                 22112                 22261                 1.010
     204                  2320                  4047                  4090                 43116                 43356                 1.010
     205                  2315                  3206                  3240                  7902                  8083                 1.010
     206                  2303                  2819                  2852                 15242                 15425               182.830
     207                  2297                  2514                  2520                  5507                  5865                 1.010
     208                  2295                  2514                  2520                  9325                  9701                 1.010
     209                  2289                  2281                  2339                 28328                 28604                 1.010
     210                  2277                  4047                  4091                 34534                 34810                 1.010
     211                  2277                  3363                  3429                 38609                 38848                 1.010
     212                  2271                  2359                  2398                 31984                 32299                 1.010
     213                  2267                  2671                  2728                 31237                 31550                 1.010
     214                  2263                  4040                  4076                 20923                 21237                 1.010
     215                  2247                  3046                  3105                 32649                 32914                 1.010
     216                  2229                  4246                  4284                 23335                 23607                 1.010
     217                  2221                  2359                  2409                 28631                 28927                 1.010
     218                  2217                  2654                  2744                 26207                 26356                 1.010
     219                  2215                  2268                  2339                 38712                 38938                 1.010
     220                  2213                  3207                  3255                 11435                 11590                 1.010
     221                  2206                  2443                  2496                 24223                 24462                 1.010
     222                  2198                  3038                  3097                 32309                 32601                 1.010
     223                  2185                  4254                  4330                 40741                 40911                 1.010
     224                  2174                  2380                  2490                 18780                 18907                 1.010
     225                  2161                  1959                  2031                 15619                 15785                 1.010
     226                  2150                  3021                  3091                 27637                 27837                 1.010
     227                  2148                  2654                  2728                 23189                 23332                 1.010
     228                  2143                  3573                  3612                 33679                 33908                 1.010
     229                  2138                  4047                  4091                 49292                 49567                 1.010
     230                  2129                  3535                  3608                 46442                 46659                 1.010
     231                  2080                  4255                  4280                 35528                 35871                 1.010
     232                  2065                  2732                  2767                 15204                 15415               182.830
     233                  2043                  4255                  4280                 30999                 31309                 1.010
     234                  2042                  4049                  4076                 18385                 18626                 1.010
     235                  2016                  1236                  1300                 21129                 21342                 1.010
     236                  2001                  3470                  3507                 36844                 37117                 1.010
     237                  1987                  3521                  3586                 49626                 49816                 1.010
     238                  1982                  3439                  3496                 48534                 48788                 1.010
     239                  1978                  3534                  3608                 45006                 45136                 1.010
     240                  1971                  4047                  4076                 23883                 24152                 1.010
     241                  1970                  3535                  3612                 35768                 35905                 1.010
     242                  1962                  4255                  4280                 25148                 25433                 1.010
     243                  1937                  3573                  3608                 29483                 29710                 1.010
     244                  1934                  1222                  1379                 17231                 17308                 1.010
     245                  1927                  3171                  3208                 13626                 13885                 1.010
     246                  1916                  1316                  1380                 16833                 16921                 1.010
     247                  1915                  3458                  3494                 35896                 36202                 1.010
     248                  1911                  3535                  3608                 48542                 48694                 1.010
     249                  1902                  4254                  4358                 46672                 46797                 1.010
     250                  1896                   226                   252                 15947                 16143                 1.010
     251                  1894                  2030                  2086                 16346                 16487               153.741
     252                  1885                  3045                  3105                 42673                 42786                 1.010
     253                  1884                  2282                  2339                 27834                 28091                 1.010
     254                  1879                  3193                  3208                 17784                 18038               182.830
     255                  1861                  2674                  2701                 33534                 33805                 1.010
     256                  1837                  4254                  4293                 47762                 48006                 1.010
     257                  1830                  2442                  2545                 34325                 34452                 1.010
     258                  1811                  2936                  2957                 20405                 20611                 1.010
     259                  1804                  4047                  4091                 38032                 38297                 1.010
     260                  1798                  4041                  4071                 18039                 18314                 1.010
     261                  1768                  3038                  3082                 27314                 27523                 1.010
     262                  1767                  1963                  2005                 36448                 36634                 1.010
     263                  1757                  2343                  2410                 26205                 26413                 1.010
     264                  1733                  3535                  3612                 47550                 47694                 1.010
     265                  1721                  1944                  2005                 25702                 25848                 1.010
     266                  1721                  1750                  1776                 30639                 30803                 1.010
     267                  1710                  3221                  3253                   150                   287                 1.010
     268                  1709                  2268                  2339                 38162                 38347                 1.010
     269                  1692                  2657                  2729                 23902                 24070                 1.010
     270                  1689                  4399                  4437                 45811                 46015                 1.010
     271                  1674                  4255                  4280                 38379                 38639                 1.010
     272                  1665                  3555                  3612                 46011                 46203                 1.010
     273                  1664                  2196                  2233                 31163                 31409                 1.010
     274                  1664                  3038                  3105                 43772                 43933                 1.010
     275                  1654                  4255                  4280                 31585                 31841                 1.010
     276                  1652                  3584                  3612                 49565                 49806                 1.010
     277                  1646                  4389                  4401                 16803                 16960                76.870
     278                  1634                  2662                  2743                 32235                 32358                 1.010
     279                  1631                  4185                  4315                 14990                 15041                 1.010
     280                  1631                  3535                  3608                 36900                 37055                 1.010
     281                  1624                  3519                  3605                 18417                 18533                 1.010
     282                  1618                  3045                  3105                 42115                 42221                 1.010
     283                  1617                  4255                  4330                 42904                 43048                 1.010
     284                  1615                  3521                  3612                 47437                 47534                 1.010
     285                  1614                  2280                  2339                 30106                 30288                 1.010
     286                  1609                  3226                  3240                 15112                 15299               129.280
     287                  1609                  2468                  2565                 37505                 37602                 1.010
     288                  1589                  3190                  3267                  8988                  9128                 1.010
     289                  1588                  2490                  2545                 28790                 29009                 1.010
     290                  1574                  3090                  3115                 17760                 17967               182.830
     291                  1574                  4254                  4334                 47172                 47315                 1.010
     292                  1569                  3535                  3612                 48682                 48826                 1.010
     293                  1568                  3190                  3239                  8103                  8251                 1.010
     294                  1566                  4255                  4346                 45546                 45662                 1.010
     295                  1559                  4255                  4280                 23744                 23964                 1.010
     296                  1558                  3017                  3042                 16474                 16622               182.830
     297                  1551                  4047                  4091                 40864                 41029                 1.010
     298                  1550                  3536                  3608                 44540                 44662                 1.010
     299                  1549                  3084                  3119                 15122                 15224               153.741
     300                  1548                  3099                  3201                 17195                 17310                 1.010
     301                  1541                  2514                  2520                 14193                 14437                 1.010
     302                  1534                  2016                  2100                 16307                 16428                 1.010
     303                  1529                  3535                  3583                 46160                 46344                 1.010
     304                  1527                  1963                  2043                 16856                 16998                 1.010
     305                  1517                  1337                  1370                 21655                 21893                 1.010
     306                  1507                  1754                  1785                 40147                 40324                 1.010
     307                  1507                  3535                  3608                 43286                 43384                 1.010
     308                  1507                  4047                  4091                 48873                 49061                 1.010
     309                  1504                  2671                  2701                 36367                 36576                 1.010
     310                  1503                  2455                  2462                 22061                 22292               153.741
     311                  1496                  2380                  2447                 23362                 23522                 1.010
     312                  1494                  2697                  2852                 14936                 14969                 1.010
     313                  1463                  3554                  3608                 34238                 34381                 1.010
     314                  1461                  1986                  2104                 15317                 15393                 1.010
     315                  1455                  3153                  3202                  2025                  2179                 1.010
     316                  1442                  2687                  2732                 35928                 36128                 1.010
     317                  1433                  1507                  1558                 49658                 49872                 1.010
     318                  1427                  2662                  2701                 29388                 29572                 1.010
     319                  1420                  3190                  3253                  7601                  7716                 1.010
