#Frame      Mode1    Mode2
     670  -16.571   -1.815
     671  -15.433   -2.453
     672  -15.406   -1.878
     673  -15.152   -2.775
     674  -15.106   -2.186
     675  -15.494   -1.476
     676  -16.225   -3.104
     677  -15.751   -3.678
     678  -15.901   -2.656
     679  -15.812   -2.505
     680  -16.035   -2.554
     681  -14.966   -2.378
     682  -15.719   -2.271
     683  -15.421   -2.145
     684  -15.746   -2.026
     685  -15.468   -1.820
     686  -15.449   -1.828
     687  -15.838   -2.008
     688  -15.809   -1.927
     689  -16.366   -3.807
     690  -16.113   -3.325
     691  -15.168   -2.236
     692  -15.207   -2.273
     693  -15.241   -3.200
     694  -16.129   -2.970
     695  -15.780   -3.211
     696  -15.703   -2.244
     697  -15.350   -1.882
     698  -15.390   -2.170
     699  -15.533   -1.681
     700  -15.785   -2.900
     701  -16.107   -0.970
     702  -15.668   -1.560
     703  -16.019   -0.921
     704  -17.048   -0.072
     705  -16.029   -1.444
     706  -16.673   -0.409
     707  -15.874    0.092
     708  -15.372   -0.686
     709  -15.979    0.245
     710  -15.523    0.392
     711  -15.781    0.207
     712  -15.743    0.316
     713  -15.318   -0.520
     714  -13.839    0.363
     715  -13.070   -0.749
     716  -13.390   -0.646
     717  -13.724    0.681
     718  -13.061    0.695
     719  -13.288    0.523
     720  -13.482   -0.080
     721  -13.614    0.917
     722  -13.722    1.751
     723  -13.607    0.107
     724  -13.302    1.050
     725  -12.868    1.115
     726  -13.541    0.818
     727  -13.661    0.108
     728  -13.621    0.818
     729  -13.664    0.713
     730  -14.795    0.454
     731  -13.609    0.192
     732  -13.476    0.887
     733  -13.803    0.165
     734  -13.142    0.355
     735  -12.678    0.246
     736  -12.059    0.164
     737  -12.763   -0.060
     738  -12.999    0.213
     739  -12.612    0.149
     740  -12.404    1.269
     741  -12.995   -0.158
     742  -13.575    0.548
     743  -13.989   -0.338
     744  -14.111   -1.008
     745  -12.671   -0.114
     746  -12.845    0.071
     747  -12.142    0.369
     748  -13.405    0.467
     749  -13.707    0.404
     750  -12.945    1.506
     751  -13.516    0.363
     752  -13.451   -0.046
     753  -13.375    0.419
     754  -12.490   -0.168
     755  -12.879    0.616
     756  -13.005    0.418
     757  -13.239    0.292
     758  -12.055    0.050
     759  -12.152    1.513
     760  -12.210    0.658
     761  -12.746    1.712
     762  -11.930    0.688
     763  -12.632    0.848
     764  -13.041    0.416
     765  -13.951   -0.011
     766  -12.601    0.614
     767  -12.998    0.511
     768  -14.087   -0.016
     769  -14.016    0.878
     770  -13.162    0.556
     771  -13.086    0.193
     772  -13.223    0.751
     773  -14.078   -0.775
     774  -12.852    0.903
     775  -13.882    0.787
     776  -15.160   -1.593
     777  -14.123   -0.814
     778  -14.701   -0.440
     779  -15.393    1.105
     780  -14.814    0.447
     781  -13.743   -0.833
     782  -13.097   -0.986
     783  -12.605   -1.017
     784  -13.440   -1.412
     785  -13.058   -0.131
     786  -13.226   -0.308
     787  -12.060    0.533
     788  -12.238   -0.660
     789  -13.318    1.892
     790  -13.496    0.696
     791  -13.031    1.210
     792  -12.626    0.222
     793  -12.638   -0.110
     794  -11.832   -0.419
     795  -13.315    0.458
     796  -13.005   -0.499
     797  -12.999   -0.913
     798  -12.538    0.139
     799  -12.041    0.707
     800  -12.356    1.105
     801  -12.651    0.840
     802  -11.978   -0.187
     803  -12.761    0.044
     804  -12.905    0.123
     805  -11.945   -0.292
     806  -12.686    0.157
     807  -12.986   -0.233
     808  -12.373    0.273
     809  -14.266    0.303
     810  -13.190    1.129
     811  -12.992    0.496
     812  -11.364    0.568
     813  -12.981    0.399
     814  -12.149    0.003
     815  -12.672   -0.117
     816  -11.894    0.013
     817  -11.660    0.086
     818  -12.552    0.456
     819  -12.441    0.123
     820  -11.996    0.057
     821  -13.180   -0.674
     822  -12.580   -0.297
     823  -12.961    0.366
     824  -11.900    0.831
     825  -12.049    0.476
     826  -11.723    0.008
     827  -11.647   -0.257
     828  -12.346   -1.236
     829  -11.257   -0.560
     830  -12.950   -0.621
     831  -12.352   -1.063
     832  -11.555   -0.915
     833  -11.772   -1.078
     834  -10.690   -1.094
     835  -12.230   -0.820
     836  -11.461   -0.283
     837  -11.362    1.157
     838  -11.383    0.328
     839  -11.709    0.243
     840  -12.302    0.376
     841  -12.290   -0.666
     842  -12.747    0.683
     843  -11.864    0.613
     844  -11.764   -0.565
     845  -12.552   -0.273
     846  -11.833   -0.068
     847  -12.580    1.755
     848  -12.166   -0.763
     849  -12.098   -0.178
     850  -11.752   -0.100
     851  -12.694    0.753
     852  -11.595    0.810
     853  -12.747   -0.042
     854  -11.448    0.667
     855  -12.239    0.544
     856  -11.187    0.659
     857  -12.423    1.676
     858  -12.368    1.251
     859  -11.892    0.219
     860  -12.802    0.027
     861  -11.652   -0.064
     862  -12.128   -0.001
     863  -12.513    0.113
     864  -12.383    0.498
     865  -11.805    0.324
     866  -11.637    0.008
     867  -11.221    0.134
     868  -12.213   -0.415
     869  -12.142    0.166
     870  -12.325   -0.629
     871  -11.323   -0.083
     872  -11.607   -0.762
     873  -12.303   -0.122
     874  -11.739   -0.611
     875  -11.831    0.601
     876  -13.144    0.853
     877  -11.943   -0.294
     878  -12.260   -0.387
     879  -12.315   -0.671
     880  -11.866   -0.848
     881  -12.073   -2.040
     882  -11.702   -0.747
     883  -11.358   -1.741
     884  -11.191   -1.346
     885  -12.523   -1.536
     886  -12.207   -1.339
     887  -12.138   -1.954
     888  -11.224   -2.195
     889  -12.018   -2.059
     890  -11.998   -2.147
