#Frame      Mode1    Mode2
     345  -13.044   -3.704
     346  -13.200   -4.633
     347  -13.890   -4.760
     348  -13.476   -4.765
     349  -13.124   -3.769
     350  -13.748   -5.265
     351  -13.342   -5.335
     352  -12.267   -4.654
     353  -11.444   -3.771
     354  -11.718   -4.049
     355  -11.638   -3.699
     356  -11.934   -5.354
     357  -11.722   -4.263
     358  -10.743   -4.789
     359  -11.174   -4.252
     360  -10.354   -4.293
     361  -10.889   -4.907
     362  -11.838   -3.496
     363  -12.096   -2.733
     364  -13.041   -3.336
     365  -12.909   -4.352
     366  -12.539   -3.659
     367  -12.696   -3.630
     368  -12.414   -3.842
     369  -13.177   -3.967
     370  -11.553   -1.858
     371  -11.446   -1.809
     372  -11.838   -3.423
     373  -11.920   -3.996
     374  -12.436   -3.423
     375  -12.426   -3.137
     376  -12.208   -3.519
     377  -11.949   -3.082
     378  -11.968   -3.344
     379  -11.646   -3.207
     380  -12.818   -3.605
     381  -12.161   -3.181
     382  -11.729   -3.041
     383  -12.731   -4.302
     384  -12.831   -4.066
     385  -12.165   -2.865
     386  -11.817   -3.062
     387  -11.662   -3.553
     388  -11.930   -2.774
     389  -11.677   -3.097
     390  -12.234   -3.673
     391  -12.538   -5.050
     392  -13.021   -4.675
     393  -12.284   -5.304
     394  -12.468   -4.569
     395  -12.837   -4.734
     396  -13.297   -4.500
     397  -12.905   -3.567
     398  -12.980   -3.652
     399  -13.010   -3.508
     400  -11.131   -3.823
     401  -11.348   -4.071
     402  -11.702   -4.583
     403  -13.471   -4.987
     404  -12.984   -5.723
     405  -12.914   -5.968
     406  -12.261   -5.871
     407  -12.060   -5.054
     408  -12.491   -5.037
     409  -12.950   -5.269
     410  -12.408   -5.647
     411  -11.790   -5.202
     412  -12.689   -5.611
     413  -12.743   -5.932
     414  -12.975   -5.335
     415  -12.847   -6.481
     416  -13.053   -6.316
     417  -13.021   -5.475
     418  -12.646   -3.735
     419  -12.944   -4.270
     420  -12.038   -5.788
     421  -13.331   -4.511
     422  -12.409   -5.723
     423  -12.687   -5.630
     424  -12.404   -4.635
     425  -12.088   -5.448
     426  -12.947   -5.254
     427  -12.108   -4.924
     428  -12.195   -4.865
     429  -12.146   -5.368
     430  -11.261   -4.920
     431  -13.202   -4.865
     432  -12.564   -4.532
     433  -13.155   -3.981
     434  -13.014   -4.284
     435  -11.901   -3.865
     436  -12.220   -4.308
     437  -13.215   -4.285
     438  -12.682   -4.046
     439  -12.177   -5.708
     440  -12.869   -4.813
     441  -11.962   -5.412
     442  -12.815   -5.846
     443  -11.184   -4.693
     444  -12.624   -3.703
     445  -11.727   -4.387
     446  -11.225   -5.284
     447  -10.962   -4.005
     448  -11.637   -4.088
     449  -10.944   -3.291
     450  -11.267   -4.307
     451  -11.621   -3.753
     452  -10.306   -4.942
     453  -10.309   -3.488
     454  -10.286   -4.096
     455  -10.419   -4.839
     456  -10.490   -4.112
     457  -11.298   -4.355
     458  -10.361   -4.675
     459  -10.581   -4.983
     460  -10.843   -4.281
     461   -9.807   -4.349
     462  -10.205   -4.618
     463   -9.886   -5.899
     464   -9.289   -4.871
     465   -9.027   -5.633
     466   -9.903   -5.115
     467   -9.819   -5.851
     468   -9.648   -5.782
     469   -8.562   -5.817
     470   -9.507   -6.340
     471   -9.067   -5.986
     472   -9.068   -5.016
     473   -9.634   -4.371
