#Frame	ca
1174	6
1175	6
1176	6
1177	5
1178	6
1179	6
1180	5
1181	6
1182	4
1183	6
1184	4
1185	5
1186	6
1187	4
1188	7
1189	5
1190	5
1191	5
1192	4
1193	8
1194	7
1195	5
1196	4
1197	6
1198	5
1199	6
1200	6
1201	6
1202	5
1203	5
1204	6
1205	7
1206	6
1207	7
1208	6
1209	6
1210	7
1211	5
1212	5
1213	6
1214	6
1215	5
1216	5
1217	5
1218	5
1219	5
1220	8
1221	6
1222	6
1223	6
1224	5
1225	6
1226	6
1227	6
1228	6
1229	7
1230	7
1231	6
1232	6
1233	5
1234	5
1235	6
1236	6
1237	7
1238	6
1239	7
1240	5
1241	6
1242	7
1243	5
1244	5
1245	7
1246	6
1247	7
1248	7
1249	7
1250	6
1251	6
1252	10
1253	6
1254	7
1255	7
1256	6
1257	6
1258	7
1259	6
1260	4
1261	7
1262	7
1263	6
1264	6
1265	7
1266	6
1267	6
1268	7
1269	8
1270	5
1271	6
1272	6
1273	6
1274	7
1275	6
1276	5
1277	6
1278	7
1279	5
1280	6
1281	5
1282	6
1283	7
1284	8
1285	5
1286	6
1287	6
1288	7
1289	6
1290	7
1291	5
1292	7
1293	6
1294	5
1295	6
1296	7
1297	5
1298	7
1299	5
1300	7
1301	6
1302	7
1303	8
1304	7
1305	7
1306	8
1307	7
1308	6
1309	7
1310	6
1311	7
1312	7
1313	7
1314	5
1315	8
1316	7
1317	8
1318	7
1319	7
1320	8
1321	7
1322	8
1323	7
1324	8
1325	7
1326	8
1327	7
1328	8
1329	7
1330	7
1331	8
1332	7
1333	6
1334	6
1335	7
1336	7
1337	6
1338	6
1339	7
1340	8
1341	6
1342	8
1343	7
1344	7
1345	6
1346	5
1347	6
1348	7
1349	6
1350	4
1351	6
1352	7
1353	5
1354	8
1355	5
1356	5
1357	5
1358	6
1359	7
1360	8
1361	5
1362	5
1363	6
1364	8
1365	7
1366	5
1367	8
1368	6
1369	6
1370	7
1371	6
1372	7
1373	5
1374	6
1375	6
1376	7
1377	7
1378	6
1379	6
1380	5
1381	7
1382	7
1383	8
1384	6
1385	6
1386	6
1387	5
1388	6
1389	5
1390	4
1391	6
1392	6
1393	6
1394	8
1395	5
1396	5
1397	5
1398	5
1399	6
1400	7
1401	7
1402	7
1403	7
1404	5
1405	6
1406	7
1407	6
1408	7
1409	5
1410	5
1411	6
1412	5
1413	7
1414	6
1415	7
1416	4
1417	6
1418	7
1419	6
1420	5
1421	6
1422	5
1423	6
1424	8
1425	6
1426	6
1427	6
1428	6
1429	6
1430	6
1431	7
1432	4
1433	6
1434	7
1435	7
1436	6
1437	8
1438	6
1439	7
1440	5
1441	5
1442	5
1443	7
1444	8
1445	6
1446	7
1447	6
1448	6
1449	6
1450	4
1451	5
1452	5
1453	7
1454	6
1455	5
1456	6
1457	5
1458	5
1459	6
1460	6
1461	6
1462	6
1463	5
1464	6
1465	7
1466	5
1467	6
1468	6
1469	6
1470	6
1471	5
1472	7
1473	6
1474	5
1475	6
1476	6
1477	7
1478	5
1479	4
1480	4
1481	4
1482	5
1483	7
1484	5
1485	5
1486	5
1487	5
1488	5
1489	5
1490	5
1491	7
1492	6
1493	6
1494	7
1495	7
1496	4
1497	7
1498	6
1499	6
1500	6
1501	7
1502	6
1503	7
1504	6
1505	8
1506	5
1507	6
1508	5
1509	6
1510	6
1511	5
1512	5
1513	5
1514	7
1515	6
1516	7
1517	7
1518	8
1519	5
1520	6
1521	7
1522	7
1523	7
1524	6
1525	5
1526	7
1527	6
1528	5
1529	5
1530	6
1531	5
1532	5
1533	7
1534	6
1535	6
1536	7
1537	7
1538	7
1539	5
1540	5
1541	7
1542	7
1543	5
1544	7
1545	6
1546	8
1547	5
1548	7
1549	7
1550	7
1551	4
1552	6
1553	7
1554	7
1555	6
1556	6
1557	7
1558	6
1559	8
1560	5
1561	7
1562	6
1563	5
1564	5
1565	5
1566	8
1567	4
1568	6
1569	7
1570	5
1571	5
1572	8
1573	6
1574	6
1575	6
1576	5
1577	5
1578	7
1579	6
1580	7
1581	7
1582	7
1583	7
1584	6
1585	5
1586	6
1587	7
1588	7
1589	4
1590	5
1591	6
1592	5
1593	5
1594	7
1595	6
1596	6
1597	5
1598	5
1599	5
1600	6
1601	5
1602	5
1603	6
1604	6
1605	3
1606	6
1607	5
1608	6
1609	6
1610	5
1611	6
1612	7
1613	7
1614	5
1615	5
1616	6
1617	6
1618	7
1619	6
1620	6
1621	7
1622	9
1623	6
1624	7
1625	5
1626	6
1627	5
1628	5
1629	6
1630	6
1631	6
1632	7
1633	6
1634	7
1635	5
1636	7
1637	6
1638	5
1639	6
1640	6
1641	6
1642	5
1643	6
1644	8
1645	4
1646	5
1647	5
1648	7
1649	5
1650	6
1651	5
1652	5
1653	6
1654	6
1655	5
1656	6
1657	5
1658	5
1659	6
1660	5
1661	5
1662	6
1663	6
1664	7
1665	6
1666	6
1667	7
1668	6
1669	6
1670	6
1671	7
1672	7
1673	7
1674	8
1675	6
1676	6
1677	6
1678	5
1679	5
1680	5
1681	6
1682	6
1683	7
1684	6
1685	7
1686	7
1687	7
1688	7
1689	6
1690	7
1691	7
1692	6
1693	6
1694	6
1695	5
1696	6
1697	5
1698	7
1699	6
1700	7
1701	6
1702	8
1703	8
1704	6
1705	6
1706	7
1707	6
1708	5
1709	7
1710	6
1711	4
1712	7
1713	7
1714	6
1715	5
1716	6
1717	5
1718	6
1719	6
1720	6
1721	8
1722	5
1723	6
1724	7
1725	6
1726	7
1727	6
1728	6
1729	7
1730	6
1731	6
1732	6
1733	6
1734	5
1735	7
1736	6
1737	6
1738	6
1739	7
1740	6
1741	5
1742	5
1743	6
1744	7
1745	6
1746	6
1747	5
1748	3
1749	5
1750	5
1751	7
1752	6
1753	6
1754	7
1755	7
1756	6
1757	7
1758	6
1759	7
1760	5
1761	4
1762	6
1763	5
1764	6
1765	6
1766	7
1767	5
1768	5
1769	6
1770	6
1771	6
1772	6
1773	7
1774	6
1775	6
1776	6
1777	5
1778	7
1779	7
1780	7
1781	7
1782	6
1783	6
1784	5
1785	7
1786	7
1787	6
1788	4
1789	6
1790	5
1791	6
1792	5
1793	6
1794	6
1795	4
1796	6
1797	5
1798	7
1799	6
1800	6
1801	6
1802	7
1803	6
1804	4
1805	6
1806	6
1807	5
1808	7
1809	7
1810	5
1811	5
1812	6
1813	6
1814	6
1815	5
1816	6
1817	7
1818	7
1819	6
1820	4
1821	7
1822	5
1823	5
1824	4
1825	6
1826	6
1827	5
1828	6
1829	5
1830	6
1831	6
1832	6
1833	6
1834	7
1835	7
1836	7
1837	5
1838	4
1839	5
1840	6
1841	5
1842	7
1843	5
1844	5
1845	5
1846	8
1847	8
1848	7
1849	6
1850	8
1851	7
1852	8
1853	6
1854	4
1855	6
1856	6
1857	7
1858	6
1859	5
1860	6
1861	6
1862	6
1863	6
1864	4
1865	5
1866	6
1867	5
1868	7
1869	5
1870	5
1871	6
1872	7
1873	7
1874	5
1875	8
1876	7
1877	8
1878	7
1879	6
1880	7
1881	6
1882	6
1883	7
1884	6
1885	6
1886	6
1887	5
1888	7
1889	7
1890	6
1891	6
1892	6
1893	7
1894	5
1895	5
1896	7
1897	6
1898	6
1899	5
1900	7
1901	6
1902	7
1903	6
1904	7
1905	6
1906	6
1907	5
1908	6
1909	6
1910	8
1911	6
1912	8
1913	6
1914	6
1915	7
1916	6
1917	6
1918	7
1919	6
1920	7
1921	7
1922	6
1923	9
1924	6
1925	5
1926	5
1927	6
1928	7
1929	7
1930	6
1931	5
1932	5
1933	8
1934	7
1935	7
1936	9
1937	6
1938	8
1939	6
1940	5
1941	8
1942	4
1943	5
1944	7
1945	5
1946	7
1947	6
1948	8
1949	6
1950	6
1951	6
1952	5
1953	7
1954	7
1955	8
1956	7
1957	5
1958	4
1959	9
1960	6
1961	6
1962	7
1963	6
1964	7
1965	7
1966	6
1967	5
1968	5
1969	7
1970	6
1971	6
1972	6
1973	5
1974	6
1975	5
1976	5
1977	4
1978	7
1979	6
1980	6
1981	6
1982	6
1983	6
1984	6
1985	6
1986	6
1987	6
1988	6
1989	7
1990	5
1991	6
1992	5
1993	7
1994	4
1995	6
1996	7
1997	5
1998	6
1999	7
2000	6
2001	7
2002	5
2003	8
2004	5
2005	6
2006	8
